seed,is_homogeneous,found_breaking_subgroup,subgroups_checked,runtime_sec,valid_rules_count,total_rules_count,pruned_rules_count,rounds_executed,unique_rules_selected,breaking_rule_index,max_rule_pick_count,sweep,exploration_prob,alpha,eta,epsilon
1,True,0,261,1.706566208973527,10,10,0,10,2,,9,exploration_prob,0.1,0.5,0.01,520000.0
2,True,0,274,1.6372164998902008,10,10,0,10,3,,8,exploration_prob,0.1,0.5,0.01,520000.0
3,True,0,261,1.645666958997026,10,10,0,10,2,,9,exploration_prob,0.1,0.5,0.01,520000.0
4,True,0,275,1.6839055420132354,10,10,0,10,3,,8,exploration_prob,0.1,0.5,0.01,520000.0
5,True,0,273,3.3014419169630855,10,10,0,10,3,,8,exploration_prob,0.1,0.5,0.01,520000.0
6,True,0,266,3.2519135830225423,10,10,0,10,2,,9,exploration_prob,0.1,0.5,0.01,520000.0
7,True,0,308,3.09848258306738,10,10,0,10,5,,5,exploration_prob,0.1,0.5,0.01,520000.0
8,True,0,267,3.1579322499455884,10,10,0,10,3,,8,exploration_prob,0.1,0.5,0.01,520000.0
9,True,0,259,3.051577707985416,10,10,0,10,2,,9,exploration_prob,0.1,0.5,0.01,520000.0
10,True,0,250,2.769585166941397,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
11,True,0,250,2.83767037501093,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
12,True,0,259,2.8423983339453116,10,10,0,10,2,,9,exploration_prob,0.1,0.5,0.01,520000.0
13,True,0,250,2.811091832933016,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
14,True,0,250,3.050807666964829,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
15,True,0,277,3.1317146660294384,10,10,0,10,3,,8,exploration_prob,0.1,0.5,0.01,520000.0
16,True,0,250,2.7949158750707284,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
17,True,0,266,2.7905035000294447,10,10,0,10,2,,9,exploration_prob,0.1,0.5,0.01,520000.0
18,True,0,250,2.7295677909860387,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
19,True,0,250,3.2501986669376493,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
20,True,0,250,2.9900252919178456,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
21,True,0,250,2.9179032089887187,10,10,0,10,1,,10,exploration_prob,0.1,0.5,0.01,520000.0
22,True,0,257,2.8052600419614464,10,10,0,10,2,,9,exploration_prob,0.1,0.5,0.01,520000.0
23,True,0,282,2.9313586249481887,10,10,0,10,2,,8,exploration_prob,0.1,0.5,0.01,520000.0
24,True,0,266,2.93689870799426,10,10,0,10,2,,9,exploration_prob,0.1,0.5,0.01,520000.0
0,True,0,250,2.841898791026324,10,10,0,10,1,,10,exploration_prob,0.2,0.5,0.01,520000.0
1,True,0,269,2.9403212500037625,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
2,True,0,274,2.8923452920280397,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
3,True,0,268,2.858375957934186,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
4,True,0,277,2.7434605000307783,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
5,True,0,273,3.0106681659817696,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
6,True,0,266,2.573095291038044,10,10,0,10,2,,9,exploration_prob,0.2,0.5,0.01,520000.0
7,True,0,335,3.0236534170107916,10,10,0,10,6,,3,exploration_prob,0.2,0.5,0.01,520000.0
8,True,0,278,2.685363958007656,10,10,0,10,4,,7,exploration_prob,0.2,0.5,0.01,520000.0
9,True,0,261,2.697427915991284,10,10,0,10,2,,9,exploration_prob,0.2,0.5,0.01,520000.0
10,True,0,268,2.8708884170046076,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
11,True,0,266,2.9746799169806764,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
12,True,0,261,2.7592191660078242,10,10,0,10,2,,9,exploration_prob,0.2,0.5,0.01,520000.0
13,True,0,268,2.826116375043057,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
14,True,0,259,3.0384897909825668,10,10,0,10,2,,9,exploration_prob,0.2,0.5,0.01,520000.0
15,True,0,287,3.0494873749557883,10,10,0,10,4,,7,exploration_prob,0.2,0.5,0.01,520000.0
16,True,0,250,3.0430543329566717,10,10,0,10,1,,10,exploration_prob,0.2,0.5,0.01,520000.0
17,True,0,261,2.7460690420120955,10,10,0,10,2,,9,exploration_prob,0.2,0.5,0.01,520000.0
18,True,0,264,2.7314137920038775,10,10,0,10,2,,8,exploration_prob,0.2,0.5,0.01,520000.0
19,True,0,266,2.635126999928616,10,10,0,10,2,,9,exploration_prob,0.2,0.5,0.01,520000.0
20,True,0,266,2.8403348330175504,10,10,0,10,2,,9,exploration_prob,0.2,0.5,0.01,520000.0
21,True,0,275,2.751697832951322,10,10,0,10,3,,8,exploration_prob,0.2,0.5,0.01,520000.0
22,True,0,261,2.8422888750210404,10,10,0,10,2,,9,exploration_prob,0.2,0.5,0.01,520000.0
23,True,0,282,2.8184052919968963,10,10,0,10,2,,8,exploration_prob,0.2,0.5,0.01,520000.0
24,True,0,281,2.6832830409985036,10,10,0,10,4,,7,exploration_prob,0.2,0.5,0.01,520000.0
0,True,0,259,2.7019827920012176,10,10,0,10,2,,9,exploration_prob,0.3,0.5,0.01,520000.0
1,True,0,295,3.0406735830474645,10,10,0,10,4,,5,exploration_prob,0.3,0.5,0.01,520000.0
2,True,0,284,2.816288915928453,10,10,0,10,4,,7,exploration_prob,0.3,0.5,0.01,520000.0
3,True,0,282,2.885464792023413,10,10,0,10,4,,7,exploration_prob,0.3,0.5,0.01,520000.0
4,True,0,278,2.9586500839795917,10,10,0,10,4,,7,exploration_prob,0.3,0.5,0.01,520000.0
5,True,0,268,2.751152166048996,10,10,0,10,3,,8,exploration_prob,0.3,0.5,0.01,520000.0
6,True,0,287,3.0431012079352513,10,10,0,10,4,,7,exploration_prob,0.3,0.5,0.01,520000.0
7,True,0,327,3.486644000047818,10,10,0,10,5,,3,exploration_prob,0.3,0.5,0.01,520000.0
8,True,0,310,2.8220644160173833,10,10,0,10,5,,5,exploration_prob,0.3,0.5,0.01,520000.0
9,True,0,261,2.9132853749906644,10,10,0,10,2,,9,exploration_prob,0.3,0.5,0.01,520000.0
10,True,0,291,3.0415514999767765,10,10,0,10,5,,6,exploration_prob,0.3,0.5,0.01,520000.0
11,True,0,266,2.584328082972206,10,10,0,10,3,,8,exploration_prob,0.3,0.5,0.01,520000.0
12,True,0,272,2.7105283330893144,10,10,0,10,2,,8,exploration_prob,0.3,0.5,0.01,520000.0
13,True,0,290,2.6573104589479044,10,10,0,10,3,,7,exploration_prob,0.3,0.5,0.01,520000.0
14,True,0,277,3.0470501669915393,10,10,0,10,4,,7,exploration_prob,0.3,0.5,0.01,520000.0
15,True,0,296,2.7221356249647215,10,10,0,10,5,,6,exploration_prob,0.3,0.5,0.01,520000.0
16,True,0,260,2.6274985830532387,10,10,0,10,2,,9,exploration_prob,0.3,0.5,0.01,520000.0
17,True,0,295,2.8522273750277236,10,10,0,10,4,,6,exploration_prob,0.3,0.5,0.01,520000.0
18,True,0,273,2.7262635830556974,10,10,0,10,3,,7,exploration_prob,0.3,0.5,0.01,520000.0
19,True,0,282,2.5375636669341475,10,10,0,10,3,,8,exploration_prob,0.3,0.5,0.01,520000.0
20,True,0,290,2.6267017499776557,10,10,0,10,4,,7,exploration_prob,0.3,0.5,0.01,520000.0
21,True,0,300,2.781406917027198,10,10,0,10,5,,6,exploration_prob,0.3,0.5,0.01,520000.0
22,True,0,261,2.908400750020519,10,10,0,10,2,,9,exploration_prob,0.3,0.5,0.01,520000.0
